id_cimero,AM01,AM02,AM03,AM04,AM05,AM06,AM07,AM08,AM09,AM10,AM11,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CO01,CO02,CO03,CO04,CO05,CO06,CO07,CO08,GR01,GR02,GR03,GR04,GR05,GR06,GR07,GR08,GR09,GR10,GR11,GR12,GR13,GR14,GR15,GR16,GR17,GR18,GR19,GR20,GR21,HL01,HL02,HL03,HL04,HL05,HL06,HL07,JA01,JA02,JA03,JA04,JA05,JA06,JA07,JA08,JA09,JA10,JA11,JA12,JA13,JA14,JA15,JA16,ML01,ML02,ML03,ML04,ML05,ML06,ML07,ML08,ML09,ML10,ML11,ML12,ML13,ML14,ML15,ML16,ML17,ML18,ML19,SV01,SV02,SV03,SV04,SV05,HU01,HU02,HU03,HU04,HU05,HU06,HU07,HU08,HU09,HU10,HU11,HU12,HU13,HU14,HU15,HU16,HU17,TE01,TE02,TE03,TE04,TE05,TE06,TE07,TE08,TE09,TE10,TE11,TE12,TE13,TE14,TE15,ZA01,ZA02,ZA03,ZA04,ZA05,ZA06,ZA07,ZA08,ZA09,ZA10,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16,AS17,AS18,AS19,AS20,AS21,AS22,AS23,AS24,AS25,AS26,AS27,AS28,AS29,AS30,AS31,AS32,AS33,AS34,AS35,AS36,AS37,AS38,AS39,ASRG,IB01,IB02,IB03,IB04,IB05,IB06,IB07,IB08,IB09,IB10,IB11,IB12,IB13,IB14,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09,SC10,SC11,SC12,SC13,SC14,SC15,SC16,LP01,LP02,LP03,LP04,LP05,LP06,LP07,LP08,LP09,LP10,CA01,CA02,CA03,CA04,CA05,CA06,CA07,CA08,CA09,CA10,CA11,CA12,CA13,CA14,CA15,CA16,CA17,CA18,CA19,AV01,AV02,AV03,AV04,AV05,AV06,AV07,AV08,AV09,AV10,AV11,AV12,AV13,AV14,AV15,AV16,AV17,BU01,BU02,BU03,BU04,BU05,BU06,BU07,BU08,BU09,BU10,BU11,LE01,LE02,LE03,LE04,LE05,LE06,LE07,LE08,LE09,LE10,LE11,LE12,LE13,LE14,LE15,LE16,LE17,PA01,PA02,PA03,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SE01,SE02,SE03,SE04,SE05,SE06,SO01,SO02,SO03,SO04,SO05,SO06,SO07,SO08,SO09,VD01,VD02,VD03,ZM01,ZM02,ZM03,ZM04,ZM05,ZM06,ZM07,AB01,AB02,AB03,AB04,AB05,AB06,AB07,AB08,AB09,AB10,CR01,CR02,CR03,CR04,CR05,CR06,CR07,CR08,CU01,CU02,CU03,CU04,CU05,CU06,CU07,CU08,CU09,CU10,GU01,GU02,GU03,GU04,GU05,GU06,GU07,GU08,GU09,TO01,TO02,TO03,BA01,BA02,BA03,BA04,BA05,BA06,BA07,BA08,BA09,BA10,BA11,BA12,BA13,BA14,BA15,BA16,BA17,BA18,BA19,GI01,GI02,GI03,GI04,GI05,GI06,GI07,GI08,GI09,GI10,GI11,GI12,GI13,GI14,GI15,GI16,LL01,LL02,LL03,LL04,LL05,LL06,LL07,LL08,LL09,LL10,LL11,LL12,LL13,LL14,LL15,LL16,LL17,LL18,LL19,LL20,LL21,LL22,LL23,LL24,TA01,TA02,TA03,TA04,TA05,TA06,TA07,TA08,TA09,TA10,TA11,TA12,CE01,AL01,AL02,AL03,AL04,AL05,AL06,AL07,AL08,AL09,AL10,AL11,AL12,BI01,BI02,BI03,BI04,BI05,BI06,BI07,BI08,BI09,BI10,BI11,BI12,BI13,BI14,BI15,BI16,BI17,GP01,GP02,GP03,GP04,GP05,GP06,GP07,GP08,GP09,GP10,GP11,GP12,GP13,BD01,BD02,CC01,CC02,CC03,CC04,CC05,CC06,CC07,CC08,CC09,CC10,CC11,CC12,AC01,AC02,AC03,AC04,AC05,AC06,AC07,AC08,AC09,LU01,LU02,LU03,LU04,LU05,LU06,LU07,LU08,LU09,LU10,LU11,LU12,LU13,LU14,LU15,LU16,LU17,LU18,LU19,LU20,LU21,LU22,OU01,OU02,OU03,OU04,OU05,OU06,OU07,OU08,OU09,OU10,OU11,OU12,OU13,OU14,PO01,PO02,PO03,PO04,PO05,PO06,PO07,PO08,PO09,PO10,PO11,PO12,PO13,PO14,LR01,LR02,LR03,LR04,LR05,LR06,LR07,LR08,LR09,LR10,LR11,LR12,LR13,LR14,MA01,MA02,MA03,MA04,MA05,MA06,MA07,MA08,MA09,MA10,MU01,MU02,MU03,MU04,MU05,MU06,MU07,MU08,MU09,MU10,MU11,MU12,NA01,NA02,NA03,NA04,NA05,NA06,NA07,NA08,NA09,NA10,NA11,NA12,NA13,NA14,NA15,AT01,AT02,AT03,AT04,AT05,AT06,AT07,AT08,AT09,AT10,AT11,AT12,AT13,CS01,CS02,CS03,CS04,CS05,CS06,CS07,CS08,CS09,CS10,CS11,CS12,CS13,CS14,CS15,CS16,CS17,CS18,CS19,VA01,VA02,VA03,VA04,VA05,VA06,VA07,VA08,VA09,VA10,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,PR01,PR02,PR03,PR04,PR05,PR06,PR07,PR08,PR09,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,X,,,X,,,,,,X,X,X,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,,X,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,,,,,,,X,X,X,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,X,,,,,X,,X,,X,X,,X,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,X,X,X,,,X,X,X,X,X,,X,X,,X,X,X,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,X,X,,X,,X,X,X,X,X,X,,,X,,,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,,X,X,X,,,,,,,X,X,X,
3,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,X,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,,X,X,X,,X,X,X,X,,,X,X,,,,X,,,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,X,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,,X,X,X,X,X,X,X,,,X,,,,X,,X,,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,,X,,,,,X,X,X,X,X,X,,X,X,,,X,X,X,X,X,X,,,,X,,,X,X,X,X,X,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,X,,,,,,,,,,X,,,X,X,X,X,X,,X,,,,,,X,X,,X,,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,X,,X,X,X,X,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,X,,,,,,,,,X,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,X,,X,,X,,X,X,,X,,,,X,X,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,X,,X,X,X,,X,X,X,,X,X,X,X,X,,X,,X,,X,,X,X,,X,X,,X,,,,X,X,X,X,X,X,X,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,X,X,,X,X,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,X,X,,,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,X,,,X,,X,,X,,,,X,,,,,,,,X,X,X,,X,X,,X,X,X,X,X,X,X,,,X,,X,X,,,X,,,,,,,,,X,X,,X,X,,,X,,,,,,,,,,X,,,X,,,,X,,X,X,X,,X,X,X,,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,,X,,,X,,,X,X,,,X,X,,,,,,X,,,,,,,,X,,,,,,,,,X,X,,X,X,X,X,,X,,X,X,X,X,X,X,,X,,,,,,,X,,,X,,X,X,X,X,,X,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,X,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,,X,X,X,X,X,X,,X,,X,,,,,X,X,,,,,X,X,,,,,X,,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,X,,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,X,X,,X,X,,X,,,X,X,X,,X,X,X,,X,X,X,X,X,,X,,,,X,,,,,X,,X,X,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,,X,,X,X,,,X,X,,X,X,,,,,X,,X,,,X,X,X,,X,,X,,X,X,X,X,,X,X,X,X,X,X,X,X,,,,X,,X,X,X,,X,X,X,X,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,,X,,,X,,X,,X,,,,,,,,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,,,X,,X,,X,,X,X,,X,,,,,,,,,,,,,,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,,,X,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,X,
7,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,X,,,X,X,X,,X,,X,,,,,X,X,X,,,,,,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,X,,X,,X,,,,,,X,,X,,,X,,,X,,,,,,,X,X,X,X,,X,X,,X,,,X,X,,,,,,X,,,,,,,,,X,X,X,X,X,,X,X,,,,X,X,,,X,X,,,,,,,,,X,X,X,,X,,X,X,X,X,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,X,X,,,X,,,,,X,,X,X,,,,X,,,X,,,,X,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,X,X,,X,,X,,,X,X,,,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,X,X,X,X,X,X,,,,,,,,X,X,,,X,,,,,X,,,X,,,,,X,,,X,,X,,,X,,,,X,X,X,,X,X,,X,,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,,X,,X,X,,X,,X,X,X,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,X,,,X,X,X,X,X,,X,X,X,X,,,,,X,X,,X,,,X,X,,,X,X,X,,X,X,,,X,,X,X,X,,X,,X,,X,X,X,X,X,X,X,,,X,X,X,,X,,X,,X,X,X,,X,,X,,,,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,X,,X,,,,,X,,,,,X,X,,X,,,,,,,,X,X,X,X,X,X,X,,X,,,,,,,,,,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,,X,X,X,X,X,X,,,,,,X,X,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,X,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,,X,X,X,X,X,,,,,,,,,,,,,X,,,X,X,X,X,,,X,X,X,,X,,,X,X,X,,,X,X,,X,,,X,X,X,,,,X,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
