1,Almería,1,1
2,Cádiz,1,2
3,Córdoba,1,2
4,Granada,1,1
5,Huelva,1,2
6,Jaén,1,1
7,Málaga,1,1
8,Sevilla,1,2
9,Andorra,2,3
10,Huesca,3,1
11,Teruel,3,1
12,Zaragoza,3,1
13,Asturias,4,4
14,Islas Baleares,5,3
15,Las Palmas,6,2
16,Santa Cruz,6,2
17,Cantabria,7,4
18,Albacete,8,1
19,Ciudad Real,8,1
20,Cuenca,8,1
21,Guadalajara,8,1
22,Toledo,8,1
23,Avila,9,2
24,Burgos,9,2
25,León,9,2
26,Palencia,9,2
27,Salamanca,9,2
28,Segovia,9,2
29,Soria,9,2
30,Valladolid,9,2
31,Zamora,9,2
32,Barcelona,10,3
33,Girona,10,3
34,Lleida,10,3
35,Tarragona,10,3
36,Ceuta,11,2
37,Álava,12,4
38,Bizkaia,12,4
39,Gipuzoka,12,4
40,Badajoz,13,2
41,Cáceres,13,2
42,A Coruña,14,4
43,Lugo,14,4
44,Ourense,14,4
45,Pontevedra,14,4
46,La Rioja,15,4
47,Comunidad de Madrid,16,1
48,Región de Murcia,17,3
49,Navarra,18,4
50,Portugal,19,2
51,Alicante,20,3
52,Castellón,20,3
53,Valencia,20,3
