CD06,UBRIQUE,Nos situamos en el centro de Ubrique y salimos por la A-373 en dirección hacia El Bosque y Ronda.,"En el km. 1,7 giramos a la derecha por la A-2302 hacia Benaocaz y Ronda; durante la ascensión pasamos al lado de Benaocaz y Villaluenga del Rosario.","1,5 kms. después de Villaluenga, en un collado sin señal ni referencia.",,36.70516,-5.37297,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8d717c7640957ae3&hl=es&ie=UTF8&t=m&ll=36.690446,-5.415573&spn=0.110121,0.171318&z=12&output=embed"
LL20,ALSAMORA,"Situándonos en Puente de Montañana, tomar la carretera que va hacia Alsamora siempre al lado del río Noguera Ribagorzana. La subida comenzaría poco después de pasar el cruce de La Clua.","Llegando a Alsamora, el nuevo trazado de la carretera nos evita entrar en este pueblo. Poco después, habrá que estar atento a tomar un desvío hacia la derecha.","500 mts. antes de llegar al final, veremos el desvío a la derecha hacia el Observatorio Astronómico. Una vez en el collado, aún podemos buscar un punto más alto si seguimos por la izquierda y recorremos 400 mts. más hasta llegar al final del asfalto, lugar donde frecuentemente se practica el parapente.",Asfalto malo (2016),42.04827,0.74268,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9b0ce195ca9c4dd7&hl=es&ie=UTF8&t=m&ll=42.066371,0.729218&spn=0.101949,0.171318&z=12&output=embed"
CA19,LOS LLARES,"Transitando por la N-611 desde Corrales de Buelna hacia Arenas de Iguña y Reinosa, encontraremos un desvío que nos lleva a San Vicente de León y Las Fraguas. Desde aquí la carretera va ganando metros ligeramente pero será en Los Llares donde podemos considerar el inicio de la ascensión, al paso por la parada de autobús.",En un cruce,"a la derecha se baja hacia Villasuso de Cieza por la otra vertiente, y a la izquierda sale una pista de tierra. Por esta pista, a 200 mts., hay un cartel de madera con el nombre del alto.",,43.20527,-4.14882,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8d5ec7d01d2f40a6&hl=es&ie=UTF8&t=m&ll=43.191911,-4.127083&spn=0.050061,0.085659&z=13&output=embed"
CC09,GUADALUPE,"En la rotonda donde se separan la EX-102 que va de Miajadas a Alía y la EX-118 que se dirige a Guadalupe y Navalmoral de la Mata. Tenemos dos opciones, rodear Guadalupe por el este, o meternos por esta localidad y cruzarla por el oeste.","En cualquiera de las dos opciones, pasado Guadalupe seguimos por la EX-118 hacia Navalmoral de la Mata; 3,5 kms. después de dejar Guadalupe, hallaremos un cruce","a la derecha subíría a la ermita del Humilladero y a la izquierda es por donde debemos seguir, hacia la Base Militar;sobre el km. 14 de ascensión, nos uniremos a la carretera que viene de Navezuelas, de la otra vertiente de Acebadillas.","Asfalto pésimo, muy difícil para ruedas finas en los últimos kilómetros.",39.46939,-5.40192,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7c562c559726cdef&hl=es&ie=UTF8&t=m&ll=39.460848,-5.364418&spn=0.106026,0.171318&z=12&output=embed"
CA19,VILLASUSO DE CIEZA,"Transitando por la N-611 desde Corrales de Buelna hacia Arenas de Iguña y Reinosa, encontraremos un desvío que nos lleva a Villasuso de Cieza. Saliendo de esta población hacia el oeste, iniciamos el ascenso.",En un cruce,"a la izquierda se baja hacia Las Fraguas por la otra vertiente, y a la derecha sale una pista de tierra. Por esta pista, a 200 mts., hay un cartel de madera con el nombre del alto.",,43.20527,-4.14882,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8d5e5897563bc9ab&hl=es&ie=UTF8&t=m&ll=43.213058,-4.134207&spn=0.025022,0.04283&z=14&output=embed"
LE09,HERRERÍAS,"En la N-VI entre Vega de Valcarce y Piedrafita de Cebreiro, tomamos el desvío para entrar en Las Herrerías de Valcarce. Justo al entrar en este pueblo iniciamos la ascensión, cruzando un puente sobre el río.","Siguiendo siempre el Camino de Santiago, a los 3,7 kms. giraremos a la derecha hacia La Laguna, dejando la que continua recto hacia La Faba; y sobre el km. 8,5 desde el punto inicial, un cruce","a la izquierda va a Cebreiro, de frente sale a la LU-633 donde está el cartel de puerto, y nosotros elegimos la de la derecha hacia unas antenas.",,42.7127,-7.02618,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f853d4f717ba9091e&hl=es&ie=UTF8&t=m&ll=42.68824,-7.014771&spn=0.100944,0.171318&z=12&output=embed"
TA09,RIERA DEL COMTE (C-42),"En la C-12 entre Ginestar y Rasquera, cuando pasamos sobre el puente de la Riera del Comte, en dirección a Rasquera.","A los 2,2 kms. giramos a la izquierda hacia Rasquera y El Perelló; vamos siguiendo las indicaciones para entrar en Rasquera y una vez estemos cruzando por sus calles, veremos la continuación hacia Cardó pasando a la izquierda de una fuente de forma circular.","A las puertas del abandonado Balneario de Cardó, se acaba el asfalto y comienza una pista de tierra hacia Ermitori de la Vall de Cardó.",,40.95172,0.57762,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f6c8160ed3bc2fdb3&ie=UTF8&t=m&ll=40.987155,0.589485&spn=0.103664,0.171318&z=12&output=embed"
MU04,LORCA,"Salimos de Lorca por la D-7 hacia Mazarrón, Morata, Puntas de Calnegre y Campico López; poco después, se convierte en la D-8, siguiendo siempre las indicaciones de Morata-Campico López; pasada una gasolinera ""La Balsica"", llegamos a un cruce que por la derecha viene de Águilas","aquí podemos considerar el inicio de la subida, continuando hacia Morata-Campico López.","A los 6,3 kms. en el cruce seguimos hacia Campico López, dejando la que va a Morata a la izquierda.",,37.55763,-1.56468,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004f7b89160d7c808b06&hl=es&ie=UTF8&t=m&ll=37.607976,-1.580658&spn=0.108793,0.171318&z=12&output=embed"
MU10,TOTANA / LA SANTA,"Salimos de Totana, desde la N-340, buscando la MU-502 que se dirige hacia Aledo.","En el km. 1,6 saliendo de Totana, seguimos por la derecha hacia La Santa y Aledo; en el km. 7,7 justo llegando a la ermita de Santa Eulalia (La Santa), tenemos dos opciones","A) giramos a la derecha hacia donde indica Casa las Monjas y Casas Rurales; en el km. 9,6 alcanzamos la carretera MU-503 que por la izquierda viene de Aledo (opción B) y seguimos rectos hacia Zarzadilla de Totana y Bullas; en el km. 11,5 giramos a la derecha hacia El Parque Regional de Sierra Espuña y EVA-13; finalmente, en el km. 18,8 llegamos al Collado Bermejo y giramos a la izquierda hacia el Morrón donde está situado el EVA-13. B) seguimos rectos pasando por delante de La Santa; en el km. 10,4 llegamos a Aledo y en dos rotondas casi seguidas seguimos la indicación a Zarzadilla de Totana; en el km. 11,9 nos llega por la derecha la opción A; en el km. 13,8 giramos a la derecha hacia El Parque Regional de Sierra Espuña y EVA-13; finalmente, en el km. 21,0 llegamos al Collado Bermejo y giramos a la izquierda hacia el Morrón donde está situado el EVA-13.",,37.86231,-1.57345,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004f7b7fb78b0e43766a&hl=es&ie=UTF8&t=m&ll=37.817921,-1.542892&spn=0.108485,0.171318&z=12&output=embed"
OU06,MONTEFURADO / POBRA DE TRIVES,"Abandonamos la N-120 entre A Rúa y Monforte en la salida de Montefurado; poco después seguimos hacia la Central Hidroeléctrica de Montefurado y pasamos por la aldea de Os Casares, y siguiendo el curso del río Bibei llegaremos al punto de inicio de la subida, un puente sobre el río Návea, en el cruce que a la derecha va a Návea; seguiremos hacia Pobra de Trives. [ Mismo inicio que el OU12 O Cerengo ]","En el km. 9,2 entramos en A Pobra de Trives y tenemos dos opciones","A) girar a la izquierda y en 300 mts. seguir la indicación a la Estación Invernal de Manzaneda por la OU-0703 o B) girar a la derecha hacia Ourense y en 700 mts. desviarse a la izquierda hacia San Mamede y Pareisas; en cualquiera de las dos opciones alcazaremos el pueblo de Cova y poco después giraremos a la izquierda hacia Cabeza de Manzaneda, dejando a la derecha la carretera que va a Chandrexa de Queixa; sobre el km. 25,6 un poco antes de llegar a las instalaciones inferiores de la Estación Invernal, giraremos a la derecha para dirigirnos a las antenas e instalaciones superiores.",,42.25827,-7.30003,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8095f03d7ba7e92b&hl=es&ie=UTF8&t=m&ll=42.314893,-7.266083&spn=0.203098,0.342636&z=11&output=embed"
AV13,PUENTE DEL MORISCO,"En la AV-913 que comunica Burgohondo con Serranillos, empezamos la subida al cruzar el río Alberche en el Puente del Morisco hacia Navarrevisca. [ Mismo inicio que el AV04 Serranillos por Puente del Morisco y AV14 La Erilla ]","En los cruces que nos irán apareciendo, no dejar nunca la AV-913 dirección Serranillos; en el km. 9,7 tomamos las pista asfaltada que nos sale a la izquierda, de asfalto gastado, sin señal ninguna.","Acaba cerca de la ermita de San Pedro; hay un cartel de Burum. El final del asfalto, en descenso, llega hasta unas antenas.",Asfalto malo (2013),40.34688,-4.88082,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8a3f000387d00d4e&hl=es&ie=UTF8&t=m&ll=40.366166,-4.85733&spn=0.104634,0.171318&z=12&output=embed"
AV14,PUENTE DEL MORISCO,"En la AV-913 que comunica Burgohondo con Serranillos, empezamos la subida al cruzar el río Alberche en el Puente del Morisco hacia Burgohondo. [ Mismo inicio que el AV04 Serranillos por Puente del Morisco y AV13 Ermita de San Pedro - La Mesa ]","En el km. 0,5 giramos a la izquierda entrando en el Barrio del Morisco; en el km. 4,8 giramos a la izquierda (la de la derecha viene de Burgohondo); en el km. 5,6 volvemos a girar a la izquierda, hacia Navatalgordo, por la AV-905; en el km. 7,6 giramos a la derecha por la AV-P-416 hacia Navaquesera; en el km. 12,7 justo al entrar en Navaquesera, nos desviamos a la derecha hacia Hoyocasero por pista de hormigón.","Acaba sin nada que sirva de referencia, un final irregular que se presta a dudas. Más o menos, 4 kms. después de dejar atrás Navaquesera.",,40.41776,-4.95492,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8a3e77f4d8d042be&hl=es&ie=UTF8&t=m&ll=40.409836,-4.897156&spn=0.104566,0.171318&z=12&output=embed"
OU11,VILOIRA,"Dejamos la N-120 en O Barco, y cruzando el río Sil, comenzará la ascensión buscando la OU-121 hacia Santigoso y Prada.","Recorridos 15 kms. de la OU-121 se llega al alto de A Portela, y giramos a la izquierda hacia Lamalonga y el Alto da Moeda o Moneda.",Actualmente (2013) tiene un cartel de madera del artista Buru.,,42.34606,-6.96221,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f80c78b20ab9ea904&hl=es&ie=UTF8&t=m&ll=42.376554,-6.983185&spn=0.101449,0.171318&z=12&output=embed"
AS28,VENTA NUEVA,"En la AS-15 entre Cangas de Narcea y Degaña, al cruzar el río Muniellos al entrar en Venta Nueva.",En la boca del túnel de Rañadoiro. NOTA,"Actualmente esta carretera ha sido desmantelada, ya no es posible transitar por ella. Algunos tramos están ya enterrados.",,42.99547,-6.62105,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7c89dc24ce47eee9&hl=es&ie=UTF8&t=m&ll=43.021467,-6.623039&spn=0.100401,0.171318&z=12&output=embed"
BI07,MAÑARIA,De Durango salimos por la BI-623 hacia Vitoria y comenzamos la ascensión al paso por Mañaria.,"Alcanzado el alto de Urkiola, giramos a la izquierda hacia el Santuario. ATENCIÓN","actualmente las señales de tráfico, que hemos de respetar como usuarios de la carretera, prohiben girar a la izquierda; nos obligan, alcanzado el alto de Urkiola, a bajar 200 mts. hacia Vitoria para cambiar de sentido y al volver a subir girar a la derecha hacia el Santuario. Quien gire a la izquierda al coronar Urkiola ha de cuidar este detalle bajo su responsabilidad.",,43.10009,-2.64416,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f96e1bcc522205aa4&hl=es&ie=UTF8&t=m&ll=43.116648,-2.650795&spn=0.050123,0.085659&z=13&output=embed"
CS14,ESLIDA,"Aunque desde que dejamos la CV-10 antes de Artana, la carretera ya empieza a subir ligeramente, pondremos el inicio en la localidad de Eslida tomando dirección Ain por la CV-223. [ Mismo inicio que el CS10 Eslida (antenas)-Puntal L'Aljub ]","A los 5,5 kms desde Eslida encontraremos un cruce, tomaremos a la izquierda hacia Almedíjar y Segorbe.",Actualmente tiene un cartel de madera de Buru indicando el punto más alto.,,39.89028,-0.35927,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f96cb51f6476f3c44&hl=es&ie=UTF8&t=m&ll=39.89288,-0.33371&spn=0.052683,0.085659&z=13&output=embed"
CS14,TALES,Salimos de Tales hacia L'Alcudia de Veo y Algimia de Almonacid por la CV-223.,"A los 6,9 seguimos por la izquierda hacia Aín y Artana, dejando a la derecha la carretera que va a Algimia y Segorbe; en el km. 11,0 nos desviamos hacia Almedíjar a la derecha por la CV-200, ignorando la izquierda que va a Aín y Eslida.",Actualmente tiene un cartel de madera de Buru indicando el punto más alto.,,39.89028,-0.35927,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f96cba7afd6def207&hl=es&ie=UTF8&t=m&ll=39.922376,-0.330276&spn=0.10532,0.171318&z=12&output=embed"
SO08,PÓVEDA DE SORIA,"Aunque desde Almarza, en la N-111 que une Soria con Logroño, ya se va ascendiendo ligeramente, consideraremos lo más interesante de la subida a partir de cruzar el río de Pinar, a la entrada de La Póveda de Soria.",No creo que nadie se equivoque pero no está de más decirlo,"actualmente un túnel cruza el puerto a una cota más baja; cuando llevemos algo más de 3 kms. desde La Póveda de Soria, veremos que nos indican la continuación, a la derecha, para acceder al Puerto de Piqueras.",,42.05554,-2.5377,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8a3904db9c49404e&hl=es&ie=UTF8&t=m&ll=42.030934,-2.514839&spn=0.102006,0.171318&z=12&output=embed"
AC04,A RIBEIRA DO FREIXO,"Partiremos desde el Concello de Outes, concretamente desde A Ribeira do Freixo, desde la AC-550, donde cogeremos a nuestra derecha (si vamos en dirección a Muros) el desvío hacia Valadares y Arestiño. Todo esto se encuentra al suroeste de la provincia, concretamente en la orilla norte de la ría de Muros y Noia.",En la localidad de Magor giramos a la derecha hacia el Parque Eólico.,"Al acabarse el asfalto, junto a un aerogenerador, giramos a la derecha y 200 mts. de pista de tierra nos acercarán hasta el vértice geodésido de Tremuzo, final de la ruta.",,42.82691,-8.95332,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004b91a2a8ba3c1c22cf&hl=es&ie=UTF8&t=m&ll=42.810137,-8.954887&spn=0.050373,0.085659&z=13&output=embed"
